graph_type,method,n,original_edges,sparsified_edges,edge_ratio,edge_reduction_percent,time_sec,mem_proxy_bytes,connected,mse,mean_rel_err,stretch_max,stretch_p50,stretch_p90
ER,GreedySpanner,500,4878,4033,0.8267732677326773,17.322673226732267,1.7105513329988753,96792,True,0.1275,0.066,2.0,1.0,1.5
ER,PartitionBased,500,4878,1907,0.39093890938909387,60.90610906109062,0.45942208299857157,45768,True,9.9195,1.209,8.0,2.0,3.5
ER,MultiResolution,500,4878,1904,0.3903239032390324,60.96760967609676,0.4587741659997846,45696,True,12.9525,1.3705833333333333,8.0,2.3333333333333335,3.5
BA,GreedySpanner,500,1984,1740,0.8770161290322581,12.298387096774189,0.4276834169995709,41760,True,0.1245,0.04891666666666666,2.0,1.0,1.3333333333333333
BA,PartitionBased,500,1984,876,0.4415322580645161,55.846774193548384,0.14625524999974004,21024,True,6.4125,0.7639916666666666,7.0,1.6666666666666667,2.5
BA,MultiResolution,500,1984,832,0.41935483870967744,58.06451612903225,0.1471903330002533,19968,True,40.5705,1.9007833333333333,13.0,2.75,4.5
SBM,GreedySpanner,500,2924,2577,0.8813269493844049,11.867305061559508,0.6907703750002838,61848,True,0.0975,0.04175,2.0,1.0,1.0
SBM,PartitionBased,500,2924,2163,0.7397400820793434,26.02599179206566,0.3935432500002207,51912,True,6.234,0.6837916666666668,7.0,1.6666666666666667,2.3333333333333335
SBM,MultiResolution,500,2924,2160,0.7387140902872777,26.128590971272224,0.4090917920002539,51840,True,11.414,0.8817083333333332,9.0,1.75,3.0
